no_sequentiel	no_trame	ordre_dans_trame	nom_trame
1	144	1	Exergues
2	1	12	Chansons
3	4	11	Scrabble
4	37	7	Histoires d’animaux
5	4	1	Scrabble
6	2	2	Couleurs
7	99	3	Noms
8	37	1	Histoires d’animaux
9	45	3	Détails inutiles
10	93	6	Le temps
11	30	2	Chiac
12	130	8	Le travail
13	4	2	Scrabble
14	1	1	Chansons
15	10	2	Typo
16	15	11	Monologues non identifiés
17	4	3	Scrabble
18	8	2	Librairie Didot
19	2	5	Couleurs
20	1	2	Chansons
21	10	1	Typo
22	22	10	Dialogues en vrac
23	2	6	Couleurs
24	1	4	Chansons
25	10	3	Typo
26	31	2	Questions avec réponse
27	4	4	Scrabble
28	88	10	La liberté
29	2	4	Couleurs
30	1	3	Chansons
31	11	4	Emprunts
32	8	1	Librairie Didot
33	45	5	Détails inutiles
34	30	4	Chiac
35	2	3	Couleurs
36	45	9	Détails inutiles
37	11	10	Emprunts
38	13	1	La paternité
39	10	4	Typo
40	93	7	Le temps
41	7	6	Détails utiles
42	13	2	La paternité
43	30	1	Chiac
44	133	5	L’avenir
45	3	3	Statistiques
46	1	5	Chansons
47	11	2	Emprunts
48	33	8	Chiac détail
49	10	5	Typo
50	134	8	Marianne
51	10	7	Typo
52	35	2	Le détail dans le détail
53	17	1	Hasards
54	20	8	Langue
55	45	11	Détails inutiles
56	142	1	Notes
57	131	4	Parenthèse(s)
58	130	12	Le travail
59	4	10	Scrabble
60	7	11	Détails utiles
61	2	7	Couleurs
62	102	12	Le trio
63	21	7	Détails plus ou moins utiles
64	33	3	Chiac détail
65	3	1	Statistiques
66	1	6	Chansons
67	4	5	Scrabble
68	1	7	Chansons
69	11	12	Emprunts
70	15	10	Monologues non identifiés
71	3	2	Statistiques
72	8	3	Librairie Didot
73	4	7	Scrabble
74	33	11	Chiac détail
75	96	10	Personnages
76	13	3	La paternité
77	4	8	Scrabble
78	142	2	Notes
79	10	8	Typo
80	8	4	Librairie Didot
81	10	9	Typo
82	31	5	Questions avec réponse
83	11	11	Emprunts
84	104	2	Inquiétudes
85	112	1	Langues
86	8	5	Librairie Didot
87	4	6	Scrabble
88	6	1	Le Babar
89	92	9	Questions sans réponse
90	1	8	Chansons
91	19	1	Détails intéressants
92	8	6	Librairie Didot
93	11	8	Emprunts
94	30	7	Chiac
95	68	1	Projets
96	15	12	Monologues non identifiés
97	10	10	Typo
98	1	9	Chansons
99	98	5	Expressions
100	15	6	Monologues non identifiés
101	39	4	Freud par la bande
102	88	1	La liberté
103	11	7	Emprunts
104	82	2	Moncton
105	33	5	Chiac détail
106	13	9	La paternité
107	138	1	L’Autre
108	2	9	Couleurs
109	39	1	Freud par la bande
110	6	4	Le Babar
111	10	11	Typo
112	87	3	Le corps
113	131	1	Parenthèse(s)
114	2	10	Couleurs
115	108	8	Rumeurs
116	142	3	Notes
117	3	4	Statistiques
118	8	7	Librairie Didot
119	19	3	Détails intéressants
120	2	11	Couleurs
121	39	2	Freud par la bande
122	8	8	Librairie Didot
123	12	1	Structure
124	37	10	Histoires d’animaux
125	11	6	Emprunts
126	15	3	Monologues non identifiés
127	21	9	Détails plus ou moins utiles
128	30	10	Chiac
129	12	2	Structure
130	6	3	Le Babar
131	3	5	Statistiques
132	134	1	Marianne
133	17	2	Hasards
134	6	5	Le Babar
135	10	12	Typo
136	37	9	Histoires d’animaux
137	35	3	Le détail dans le détail
138	137	9	Peurs
139	39	3	Freud par la bande
140	30	8	Chiac
141	7	9	Détails utiles
142	15	8	Monologues non identifiés
143	54	1	Oubli/rappel
144	2	12	Couleurs
145	144	2	Exergues
146	8	9	Librairie Didot
147	45	2	Détails inutiles
148	103	1	Disparitions
149	3	6	Statistiques
150	94	10	Terry et Carmen
151	54	9	Oubli/rappel
152	84	7	Histoire
153	105	10	Réserves
154	97	1	Les chiffres et les nombres
155	128	12	Ferveurs
156	97	2	Les chiffres et les nombres
157	19	4	Détails intéressants
158	6	6	Le Babar
159	12	3	Structure
160	54	4	Oubli/rappel
161	3	8	Statistiques
162	63	12	Terry et Zed
163	39	5	Freud par la bande
164	15	1	Monologues non identifiés
165	19	8	Détails intéressants
166	130	3	Le travail
167	17	4	Hasards
168	20	2	Langue
169	10	6	Typo
170	6	7	Le Babar
171	35	9	Le détail dans le détail
172	103	8	Disparitions
173	12	4	Structure
174	8	10	Librairie Didot
175	68	5	Projets
176	142	4	Notes
177	104	5	Inquiétudes
178	87	1	Le corps
179	12	5	Structure
180	8	11	Librairie Didot
181	34	1	Lacan
182	30	11	Chiac
183	3	9	Statistiques
184	20	4	Langue
185	3	10	Statistiques
186	15	4	Monologues non identifiés
187	89	1	Agacements
188	8	12	Librairie Didot
189	57	4	Photocopies
190	14	1	Zablonski
191	12	6	Structure
192	14	2	Zablonski
193	17	6	Hasards
194	1	11	Chansons
195	12	7	Structure
196	21	5	Détails plus ou moins utiles
197	57	1	Photocopies
198	104	3	Inquiétudes
199	141	6	Obsessions
200	6	8	Le Babar
201	71	1	Intro broderie
202	17	7	Hasards
203	19	9	Détails intéressants
204	14	3	Zablonski
205	12	8	Structure
206	24	1	Élizabeth
207	97	3	Les chiffres et les nombres
208	22	7	Dialogues en vrac
209	57	5	Photocopies
210	14	4	Zablonski
211	12	9	Structure
212	142	5	Notes
213	17	9	Hasards
214	33	2	Chiac détail
215	45	7	Détails inutiles
216	22	1	Dialogues en vrac
217	35	12	Le détail dans le détail
218	14	5	Zablonski
219	45	12	Détails inutiles
220	72	1	Équations
221	71	2	Intro broderie
222	133	3	L’avenir
223	58	7	Prolongements
224	72	2	Équations
225	11	3	Emprunts
226	19	12	Détails intéressants
227	7	10	Détails utiles
228	142	6	Notes
229	71	3	Intro broderie
230	14	6	Zablonski
231	39	7	Freud par la bande
232	98	9	Expressions
233	7	12	Détails utiles
234	24	2	Élizabeth
235	55	1	Haïkus
236	6	9	Le Babar
237	72	3	Équations
238	14	7	Zablonski
239	24	3	Élizabeth
240	142	7	Notes
241	11	1	Emprunts
242	14	8	Zablonski
243	46	2	La Bibliothèque idéale
244	100	4	Proverbes
245	46	3	La Bibliothèque idéale
246	22	6	Dialogues en vrac
247	7	8	Détails utiles
248	30	3	Chiac
249	3	11	Statistiques
250	31	1	Questions avec réponse
251	55	2	Haïkus
252	14	9	Zablonski
253	46	1	La Bibliothèque idéale
254	100	2	Proverbes
255	72	4	Équations
256	6	10	Le Babar
257	90	1	Lettres
258	24	4	Élizabeth
259	19	10	Détails intéressants
260	30	12	Chiac
261	24	5	Élizabeth
262	100	3	Proverbes
263	46	4	La Bibliothèque idéale
264	18	7	Une place pour le monde
265	58	1	Prolongements
266	24	6	Élizabeth
267	72	5	Équations
268	14	10	Zablonski
269	71	4	Intro broderie
270	100	6	Proverbes
271	32	1	Problèmes d’examen
272	100	5	Proverbes
273	72	6	Équations
274	54	10	Oubli/rappel
275	12	11	Structure
276	24	7	Élizabeth
277	33	1	Chiac détail
278	14	11	Zablonski
279	46	5	La Bibliothèque idéale
280	100	7	Proverbes
281	46	6	La Bibliothèque idéale
282	100	12	Proverbes
283	97	4	Les chiffres et les nombres
284	24	8	Élizabeth
285	90	2	Lettres
286	14	12	Zablonski
287	12	10	Structure
288	31	11	Questions avec réponse
289	144	3	Exergues
290	87	2	Le corps
291	54	6	Oubli/rappel
292	6	11	Le Babar
293	71	5	Intro broderie
294	142	8	Notes
295	34	2	Lacan
296	97	5	Les chiffres et les nombres
297	46	7	La Bibliothèque idéale
298	100	1	Proverbes
299	39	9	Freud par la bande
300	87	4	Le corps
301	46	8	La Bibliothèque idéale
302	2	1	Couleurs
303	35	8	Le détail dans le détail
304	6	2	Le Babar
305	64	4	Contraires
306	39	6	Freud par la bande
307	46	9	La Bibliothèque idéale
308	24	10	Élizabeth
309	34	6	Lacan
310	143	9	Varia
311	19	2	Détails intéressants
312	82	1	Moncton
313	138	2	L’Autre
314	72	7	Équations
315	78	2	Accidents
316	5	1	Un film
317	89	2	Agacements
318	24	9	Élizabeth
319	83	5	Jouissance et couleur
320	5	2	Un film
321	35	7	Le détail dans le détail
322	72	8	Équations
323	46	10	La Bibliothèque idéale
324	22	12	Dialogues en vrac
325	21	6	Détails plus ou moins utiles
326	24	11	Élizabeth
327	32	2	Problèmes d’examen
328	5	3	Un film
329	97	7	Les chiffres et les nombres
330	5	4	Un film
331	46	11	La Bibliothèque idéale
332	5	5	Un film
333	72	9	Équations
334	39	8	Freud par la bande
335	76	1	Avatars
336	5	6	Un film
337	34	5	Lacan
338	142	9	Notes
339	72	10	Équations
340	5	7	Un film
341	34	4	Lacan
342	5	8	Un film
343	46	12	La Bibliothèque idéale
344	117	1	La mort
345	20	10	Langue
346	9	1	Le potager
347	83	3	Jouissance et couleur
348	5	9	Un film
349	71	6	Intro broderie
350	31	9	Questions avec réponse
351	55	3	Haïkus
352	72	11	Équations
353	89	4	Agacements
354	5	10	Un film
355	32	5	Problèmes d’examen
356	31	6	Questions avec réponse
357	19	5	Détails intéressants
358	5	11	Un film
359	37	4	Histoires d’animaux
360	5	12	Un film
361	48	1	Inférences
362	97	8	Les chiffres et les nombres
363	39	10	Freud par la bande
364	26	1	Le film
365	34	8	Lacan
366	49	1	Élizabeth II
367	48	2	Inférences
368	6	12	Le Babar
369	34	10	Lacan
370	26	2	Le film
